,Province,Country,Lat,Long,Date,Confirmed,Province_and_country,Days_since_outbreak_global,Country_Region,iso2,Continent,Day,Weekday,Week_number,Quarter,Month,Year,Confirmed_lag_1,Daily_increase_confirmed
0,0,Afghanistan,33.0,65.0,2020-01-22,0,Afghanistan,1,Afghanistan,AF,Asia,22,2,4,1,1,2020,0.0,0.0
1,0,Albania,41.1533,20.1683,2020-01-22,0,Albania,1,Albania,AL,Europe,22,2,4,1,1,2020,0.0,0.0
2,0,Algeria,28.0339,1.6596,2020-01-22,0,Algeria,1,Algeria,DZ,Africa,22,2,4,1,1,2020,0.0,0.0
3,0,Andorra,42.5063,1.5218,2020-01-22,0,Andorra,1,Andorra,AD,Europe,22,2,4,1,1,2020,0.0,0.0
4,0,Angola,-11.2027,17.8739,2020-01-22,0,Angola,1,Angola,AO,Africa,22,2,4,1,1,2020,0.0,0.0
5,0,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,Antigua and Barbuda,1,Antigua and Barbuda,AG,North America,22,2,4,1,1,2020,0.0,0.0
6,0,Argentina,-38.4161,-63.6167,2020-01-22,0,Argentina,1,Argentina,AR,South America,22,2,4,1,1,2020,0.0,0.0
7,0,Armenia,40.0691,45.0382,2020-01-22,0,Armenia,1,Armenia,AM,Asia,22,2,4,1,1,2020,0.0,0.0
8,Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,Australia_Australian Capital Territory,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
9,New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,Australia_New South Wales,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
10,Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,Australia_Northern Territory,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
11,Queensland,Australia,-28.0167,153.4,2020-01-22,0,Australia_Queensland,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
12,South Australia,Australia,-34.9285,138.6007,2020-01-22,0,Australia_South Australia,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
13,Tasmania,Australia,-41.4545,145.9707,2020-01-22,0,Australia_Tasmania,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
14,Victoria,Australia,-37.8136,144.9631,2020-01-22,0,Australia_Victoria,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
15,Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,Australia_Western Australia,1,0,0,0,22,2,4,1,1,2020,0.0,0.0
16,0,Austria,47.5162,14.5501,2020-01-22,0,Austria,1,Austria,AT,Europe,22,2,4,1,1,2020,0.0,0.0
17,0,Azerbaijan,40.1431,47.5769,2020-01-22,0,Azerbaijan,1,Azerbaijan,AZ,Asia,22,2,4,1,1,2020,0.0,0.0
18,0,Bahamas,25.0343,-77.3963,2020-01-22,0,Bahamas,1,Bahamas,BS,North America,22,2,4,1,1,2020,0.0,0.0
19,0,Bahrain,26.0275,50.55,2020-01-22,0,Bahrain,1,Bahrain,BH,Asia,22,2,4,1,1,2020,0.0,0.0
20,0,Bangladesh,23.685,90.3563,2020-01-22,0,Bangladesh,1,Bangladesh,BD,Asia,22,2,4,1,1,2020,0.0,0.0
21,0,Barbados,13.1939,-59.5432,2020-01-22,0,Barbados,1,Barbados,BB,North America,22,2,4,1,1,2020,0.0,0.0
22,0,Belarus,53.7098,27.9534,2020-01-22,0,Belarus,1,Belarus,BY,Europe,22,2,4,1,1,2020,0.0,0.0
23,0,Belgium,50.8333,4.0,2020-01-22,0,Belgium,1,Belgium,BE,Europe,22,2,4,1,1,2020,0.0,0.0
